Age Years,P3 lbs
0,5.181992169
0.041666667,6.15900701
0.125,7.952313758
0.208333333,9.55315119
0.291666667,10.98437537
0.375,12.26537195
0.458333333,13.4129056
0.541666667,14.44174676
0.625,15.36507134
0.708333333,16.19471946
0.791666667,16.94137369
0.875,17.61469038
0.958333333,18.22340268
1.041666667,18.77540506
1.125,19.27782688
1.208333333,19.73709603
1.291666667,20.1589967
1.375,20.54872175
1.458333333,20.91092083
1.541666667,21.24974453
1.625,21.56888604
1.708333333,21.87161873
1.791666667,22.16083208
1.875,22.43906474
1.958333333,22.70853563
2.041666667,22.97117284
2.125,23.2286408
2.208333333,23.48236574
2.291666667,23.73355943
2.375,23.98324161
2.458333333,24.23226069
2.541666667,24.48131338
2.625,24.73096454
2.708333333,24.98165604
2.791666667,25.23373549
2.875,25.4874611
2.958333333,25.74301715
3,25.87152451
3.041666667,26.00052871
3.125,26.26006084
3.208333333,26.52164409
3.291666667,26.78527071
3.375,27.05091563
3.458333333,27.31852424
3.541666667,27.58802554
3.625,27.85935
3.708333333,28.13241501
3.791666667,28.40713751
3.875,28.68343122
3.958333333,28.96122308
4.041666667,29.24043573
4.125,29.52100087
4.208333333,29.80285757
4.291666667,30.08595308
4.375,30.37024342
4.458333333,30.65569357
4.541666667,30.94227763
4.625,31.22997867
4.708333333,31.5187851
4.791666667,31.80870323
4.875,32.09973811
4.958333333,32.39190482
5.041666667,32.68522497
5.125,32.97972586
5.208333333,33.27543969
5.291666667,33.57240273
5.375,33.87065442
5.458333333,34.17023647
5.541666667,34.47119205
5.625,34.7735648
5.708333333,35.07739807
5.791666667,35.38273416
5.875,35.68961348
5.958333333,35.99806973
6.041666667,36.30814504
6.125,36.619867
6.208333333,36.93326243
6.291666667,37.24835369
6.375,37.56515833
6.458333333,37.88368901
6.541666667,38.20395346
6.625,38.52595448
6.708333333,38.84968575
6.791666667,39.17514784
6.875,39.50232691
6.958333333,39.83120836
7.041666667,40.16177554
7.125,40.49400542
7.208333333,40.8278796
7.291666667,41.16337337
7.375,41.50046309
7.458333333,41.83912542
7.541666667,42.17933823
7.625,42.52108133
7.708333333,42.86433727
7.791666667,43.20909212
7.875,43.55533134
7.958333333,43.90305863
8.041666667,44.25227114
8.125,44.60297602
8.208333333,44.95518733
8.291666667,45.30892659
8.375,45.66422304
8.458333333,46.0211143
8.541666667,46.37964668
8.625,46.7398743
8.708333333,47.10186771
8.791666667,47.46569465
8.875,47.83144078
8.958333333,48.19920026
9.041666667,48.56907689
9.125,48.94118445
9.208333333,49.31564664
9.291666667,49.69259711
9.375,50.07217919
9.458333333,50.45454588
9.541666667,50.83985447
9.625,51.22828407
9.708333333,51.62001229
9.791666667,52.01522832
9.875,52.41412968
9.958333333,52.81692181
10.04166667,53.22381753
10.125,53.63503664
10.20833333,54.05080538
10.29166667,54.47135577
10.375,54.89692507
10.45833333,55.32775503
10.54166667,55.76409124
10.625,56.20618236
10.70833333,56.65427926
10.79166667,57.10863424
10.875,57.5695023
10.95833333,58.03712589
11.04166667,58.51177336
11.125,58.99368055
11.20833333,59.48309646
11.29166667,59.98026217
11.375,60.48541316
11.45833333,60.99877841
11.54166667,61.5205791
11.625,62.05102754
11.70833333,62.59032604
11.79166667,63.13866563
11.875,63.69622505
11.95833333,64.26316937
12.04166667,64.83964892
12.125,65.42579817
12.20833333,66.02173439
12.29166667,66.62755671
12.375,67.24334476
12.45833333,67.8691578
12.54166667,68.50503339
12.625,69.15098456
12.70833333,69.80700778
12.79166667,70.47306631
12.875,71.14910152
12.95833333,71.83502832
13.04166667,72.53073456
13.125,73.23608008
13.20833333,73.95089621
13.29166667,74.67498498
13.375,75.40811863
13.45833333,76.15003387
13.54166667,76.90044875
13.625,77.65904071
13.70833333,78.42545869
13.79166667,79.19932046
13.875,79.9802124
13.95833333,80.76768977
14.04166667,81.56127685
14.125,82.36046722
14.20833333,83.1647243
14.29166667,83.97348177
14.375,84.78614445
14.45833333,85.60208901
14.54166667,86.42066499
14.625,87.24119593
14.70833333,88.06298076
14.79166667,88.88529511
14.875,89.70738491
14.95833333,90.52850926
15.04166667,91.34786016
15.125,92.16464717
15.20833333,92.97805856
15.29166667,93.78727224
15.375,94.59145868
15.45833333,95.38978394
15.54166667,96.18140633
15.625,96.96551313
15.70833333,97.74125794
15.79166667,98.50783092
15.875,99.26444418
15.95833333,100.0102886
16.04166667,100.744613
16.125,101.4666826
16.20833333,102.1757942
16.29166667,102.8712801
16.375,103.5525134
16.45833333,104.2189113
16.54166667,104.86994
16.625,105.5051186
16.70833333,106.1240225
16.79166667,106.7262869
16.875,107.3116102
16.95833333,107.8797561
17.04166667,108.430556
17.125,108.9639106
17.20833333,109.479791
17.29166667,109.9782273
17.375,110.4593587
17.45833333,110.92335
17.54166667,111.3704499
17.625,111.8009716
17.70833333,112.21529
17.79166667,112.6138368
17.875,112.9970954
17.95833333,113.3655948
18.04166667,113.7199028
18.125,114.0606174
18.20833333,114.3883766
18.29166667,114.7037787
18.375,115.0074618
18.45833333,115.300038
18.54166667,115.5820906
18.625,115.8541452
18.70833333,116.1167139
18.79166667,116.3701736
18.875,116.6148226
18.95833333,116.8508386
19.04166667,117.0782555
19.125,117.2969375
19.20833333,117.5065519
19.29166667,117.706539
19.375,117.8960796
19.45833333,118.0740592
19.54166667,118.2390286
19.625,118.3891603
19.70833333,118.5222002
19.79166667,118.6354121
19.875,118.7255005
19.95833333,118.7885988
20,118.808618
